<TICKER>;<PER>;<DATE>;<OPEN>;<CLOSE>;<AMOUNT>;<VOLUME>;<EBITDA>;<FCF>;<OCF>;<OPER INCOME>;<NET INCOME>;<REVENUE>
Sberbank;D;03.01.2022;295,9;305,47;50 183 170;15 116 470 365,3;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;04.01.2022;305,51;304,24;53 270 410;16 277 165 930,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;05.01.2022;303,72;287,01;70 017 630;20 740 935 491,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;06.01.2022;286,6;293,92;79 380 930;23 128 604 540,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;10.01.2022;295,52;291,69;67 426 550;19 757 691 963,7;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;11.01.2022;293,4;291,88;58 921 530;17 141 880 062,9;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;12.01.2022;292,82;290,4;81 822 450;23 674 409 517,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;13.01.2022;289,56;272,5;211 556 190;58 998 956 306,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;14.01.2022;272,39;261;406 253 690;105 840 690 373,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;17.01.2022;262,15;257,78;248 689 250;63 249 791 802,6;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;18.01.2022;258,8;234,7;484 056 480;115 765 833 652,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;19.01.2022;232,9;244,86;360 958 990;86 623 311 717,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;20.01.2022;244,17;254,61;329 113 650;82 793 764 163,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;21.01.2022;252,99;246,9;295 690 670;74 378 247 142,4;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;24.01.2022;246,51;236,97;325 829 650;76 615 666 498,0;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;25.01.2022;237;239,59;232 596 970;55 146 749 879,2;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;26.01.2022;240,5;236,9;224 840 650;53 688 065 880,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
Sberbank;D;27.01.2022;235;254,29;301 306 340;75 092 074 862,5;10,25128205;4,257692308;5,538034188;6,832478633;1,155982906;12,6534188
